Species,Use,Order,Taxon,Family,Class,Type,Calc,BM,Tbmin,Mrmin,PBMR,Boutmax,Boutmean,Source,lat,ta,prec,IBE
Peromyscus eremicus,Peromyscus eremicus,RODENTIA,Plac,NA,MAMMALIA,DT,1,17,16,0.3,19,11.2,6.3,MacMillen 1965; Morhardt 1970,29,NA,NA,
Peromyscus gossypinus,Peromyscus gossypinus,RODENTIA,Plac,NA,MAMMALIA,DT,1,22,14,NA,NA,NA,4.9,Tannenbaum & Pivorun 1984,31.36,18.086,103.39,
Peromyscus leucopus,Peromyscus leucopus,RODENTIA,Plac,NA,MAMMALIA,DT,1,20,16.8,0.47,28,13,4.6,Hill 1975; Deavers & Hudson 1981; Tannenbaum & Pivorun 1988,33.49,13.026,64.42,
Peromyscus maniculatus,Peromyscus maniculatus,RODENTIA,Plac,NA,MAMMALIA,DT,1,18,13.4,0.55,28,10.8,7.3,McNab & Morrison 1963; Morhardt 1970; Geiser 1991,40.92,6.172,51.3,
Petaurus breviceps,Petaurus breviceps,DIPROTODONTIA,Mars,NA,MAMMALIA,DT,1,130,10.4,0.07,9.5,23,13,Fleming 1980; K_rtner and Geiser 2000,-20.7,21.121,111.14,
Petromyscus collinus,Petromyscus collinus,RODENTIA,Plac,NA,MAMMALIA,DT,1,19,18,NA,NA,NA,NA,Withers et al. 1980,-24.17,16.671,13.48,
Phodopus sungorus,Phodopus sungorus,RODENTIA,Plac,NA,MAMMALIA,DT,1,25,12.3,0.88,46,13.8,6.3,Ruf et al. 1993 (T. Ruf unpublished data),50.89,1.161,26.18,
Phyllotis darwini,Phyllotis darwini,RODENTIA,Plac,NA,MAMMALIA,DT,1,36,17.5,0.19,15,12,NA,Bozinovic & Marquet 1991,-30.74,8.992,29.86,
Pipistrellus pipistrellus,Pipistrellus pipistrellus,CHIROPTERA,Plac,NA,MAMMALIA,HIB,1,7.4,3,0.024,1,NA,NA,Kayser 1964; Kulzer 1965,43.44,8.194,48,
Pipistrellus subflavus,Pipistrellus subflavus,CHIROPTERA,Plac,NA,MAMMALIA,HIB,1,5,NA,NA,NA,1800,607,Brack & Twente 1985,31.01,14.798,86.64,1.5
Planigale gilesi,Planigale gilesi,DASYUROMORPHIA,Mars,NA,MAMMALIA,DT,1,8,14.3,0.36,25,15.3,8.8,Geiser & Baudinette 1988,-29.48,19.891,22.2,
Planigale ingrami,Planigale ingrami,DASYUROMORPHIA,Mars,NA,MAMMALIA,DT,1,7.6,NA,0.48,30,4,NA,Dawson & Wolfers 1978,-18.58,24.615,57.46,
Planigale maculata,Planigale maculata,DASYUROMORPHIA,Mars,NA,MAMMALIA,DT,1,13,19.6,0.4,40,1.8,NA,Morton & Lee 1978,-21.9,23.483,74.36,
Planigale tenuirostris,Planigale tenuirostris,DASYUROMORPHIA,Mars,NA,MAMMALIA,DT,1,7,NA,0.48,30,4,NA,Dawson & Wolfers 1978,-28.53,19.959,23.02,
Plecotus auritus,Plecotus auritus,CHIROPTERA,Plac,NA,MAMMALIA,HIB,1,10,-2,NA,NA,NA,NA,Eisentraut 1934,44.65,4.677,50.42,
Proteles cristata,Proteles cristata,CARNIVORA,Plac,NA,MAMMALIA,DT,1,9000,31,NA,NA,NA,NA,Anderson 2004,-5.74,21.008,46.96,
Pseudantechinus macdonnellensis,Pseudantechinus macdonnellensis,DASYUROMORPHIA,Mars,NA,MAMMALIA,DT,1,31,15.9,NA,NA,14.3,5.8,Geiser & Pavey 2007,-22.83,23.879,25.14,
Reithrodontomys megalotis,Reithrodontomys megalotis,RODENTIA,Plac,NA,MAMMALIA,DT,1,8,13,0.3,12,10,4,Thompson 1985,33.28,11.244,40.68,
Rhinolophus ferrumequinum,Rhinolophus ferrumequinum,CHIROPTERA,Plac,NA,MAMMALIA,HIB,1,23,9,NA,NA,432,104,Kulzer 1965; Park et al. 2000,38.48,10.869,59.9,4.3
Rhinolophus hipposideros,Rhinolophus hipposideros,CHIROPTERA,Plac,NA,MAMMALIA,HIB,1,6,NA,NA,NA,2064,427,Harmata 1987,31.68,9.632,51.75,
Rhinopoma microphyllum,Rhinopoma microphyllum,CHIROPTERA,Plac,NA,MAMMALIA,HIB,1,10,23,NA,NA,NA,NA,Kulzer 1965; Levin et al. 2010,18.84,24.761,26.62,
Saccostomus campestris,Saccostomus campestris,RODENTIA,Plac,NA,MAMMALIA,DT,1,71,25,0.35,56,6.8,2.7,Mzilikazi & Lovegrove 2002,-19.68,20.656,61.49,
Scotophilus dinganii,Scotophilus dinganii,CHIROPTERA,Plac,NA,MAMMALIA,DT,1,29,18.5,NA,NA,19,15,Jacobs et al. 2007,-8.02,23.481,87.36,
Scotophilus mhlanganii,Scotophilus collinus,CHIROPTERA,Plac,NA,MAMMALIA,DT,1,28,17.2,NA,NA,18.5,17.2,Jacobs et al. 2007,-6,NA,NA,
Setifer setosus,Setifer setosus,AFROSORICIDA,Plac,NA,MAMMALIA,HIB,1,320,13,0.014,4,144,NA,Lachiver 1958; Kayser 1964; Hildwein 1970; Lovegrove et al 2012,-18.96,22.117,125.02,
Sminthopsis crassicaudata,Sminthopsis crassicaudata,DASYUROMORPHIA,Mars,NA,MAMMALIA,DT,1,17,10.8,0.27,22,19.5,15,Geiser & Baudinette 1987; Warnecke et al. 2008,-28.79,19.534,28.14,
Sminthopsis douglasi,Sminthopsis douglasi,DASYUROMORPHIA,Mars,NA,MAMMALIA,DT,1,60,16.9,0.43,40,8.8,3.2,Muller 1996,-20.1,24.914,42.47,
Sminthopsis macroura,Sminthopsis macroura,DASYUROMORPHIA,Mars,NA,MAMMALIA,DT,1,24,11.3,0.3,29,25.9,11,Geiser & Baudinette 1987; K_rtner & Geiser 2009,-24.29,22.019,28.2,
Sminthopsis murina,Sminthopsis murina,DASYUROMORPHIA,Mars,NA,MAMMALIA,DT,1,19,15,0.25,22,8,NA,Geiser et al. 1984,-27.47,17.016,57.43,
Sminthopsis ooldea,Sminthopsis ooldea,DASYUROMORPHIA,Mars,NA,MAMMALIA,DT,1,11.1,NA,0.77,48,NA,NA,Tomlinson et al. 2012,-24.7,21.094,18.37,
Sorex sinuosus,Sorex ornatus,INSECTIVORA,Plac,NA,MAMMALIA,DT,1,7.8,NA,1.3,28,1,NA,Newmann & Rudd 1978 ,31.46,12.76,35.99,
Spermophilus armatus,Spermophilus armatus,RODENTIA,Plac,NA,MAMMALIA,HIB,1,500,NA,NA,NA,576,302,Cranford 1986 (LITC),42.02,3.072,27.61,9.5
Spermophilus beecheyi,Spermophilus beecheyi,RODENTIA,Plac,NA,MAMMALIA,HIB,1,600,6.1,NA,NA,72,48,Strumwasser 1960; Pengelley & Kelly 1966,38.32,10.349,49.14,
Spermophilus beldingi,Spermophilus beldingi,RODENTIA,Plac,NA,MAMMALIA,HIB,1,400,NA,NA,NA,400,NA,French 1985,41.29,6.97,30.29,9
Spermophilus citellus,Spermophilus citellus,RODENTIA,Plac,NA,MAMMALIA,HIB,1,250,-0.7,NA,NA,415,192,Nemeth et al. 2009 (CJZ),45.52,8.695,51.36,14
Spermophilus columbianus,Spermophilus columbianus,RODENTIA,Plac,NA,MAMMALIA,HIB,1,500,0,NA,NA,600,424,Young 1990,49.15,2.485,39.96,12
Spermophilus dauricus,Spermophilus dauricus,RODENTIA,Plac,NA,MAMMALIA,HIB,1,350,-2.4,NA,NA,377,260,Yang et al. 2011,43.33,2.96,32.51,12.75
Spermophilus elegans,Spermophilus elegans,RODENTIA,Plac,NA,MAMMALIA,HIB,1,300,NA,NA,NA,450,338,Harlow & Menkens 1986,43.96,3.862,25.88,24
Spermophilus lateralis,Spermophilus lateralis,RODENTIA,Plac,NA,MAMMALIA,HIB,1,200,-1,0.028,4,504,408,Hammel et al. 1968; Healey et al. 2012,44.51,5.681,33.72,13.5
Spermophilus mexicanus,Spermophilus mexicanus,RODENTIA,Plac,NA,MAMMALIA,HIB,1,200,7,0.06,7,60,36,Neumann & Cade 1965,26.39,19.194,46.83,
Spermophilus parryii,Spermophilus parryii,RODENTIA,Plac,NA,MAMMALIA,HIB,1,650,-2.9,0.012,2,550,420,Hock 1960; Barnes 1989; Barnes & Ritter 1993; Buck & Barnes 2000,63.39,-10.36,28.63,14.8
Spermophilus richardsonii,Spermophilus richardsonii,RODENTIA,Plac,NA,MAMMALIA,HIB,1,400,2,0.02,4,456,NA,Hudson & Deavers 1973; Wang 1978,49.39,3.422,34.09,10.3
Spermophilus saturatus,Spermophilus saturatus,RODENTIA,Plac,NA,MAMMALIA,HIB,1,230,0.3,0.017,4,360,254,Geiser et al. 1990,47.94,4.708,82.05,
Spermophilus tereticaudus,Spermophilus tereticaudus,RODENTIA,Plac,NA,MAMMALIA,HIB,1,125,NA,0.048,7,120,NA,Pengelley & Kelly 1966; Bickler 1984,32.04,18.035,17.01,
Spermophilus variegatus,Spermophilus variegatus,RODENTIA,Plac,NA,MAMMALIA,HIB,1,700,8,NA,NA,172,110,Pengelley 1964; Pengelley & Kelly 1966,29.99,14.887,34.28,
Spermophilus xanthoprymnus,Spermophilus xanthoprymnus,RODENTIA,Plac,NA,MAMMALIA,HIB,1,300,4,NA,NA,468,199,G_r et al. 2009,38.76,9.096,42.85,
Steatomys pratensis,Steatomys pratensis,RODENTIA,Plac,NA,MAMMALIA,DT,1,28,16.4,0.3,22,21.5,16.9,Ellison 1995,-20,NA,NA,
Sturnira lilium,Sturnira lilium,CHIROPTERA,Plac,NA,MAMMALIA,DT,1,16,22,0.5,25,NA,NA,Audet & Thomas 1997,-2.47,23.246,142.56,
Suncus etruscus,Suncus etruscus,INSECTIVORA,Plac,NA,MAMMALIA,DT,1,2,12,0.6,10,7.6,2,"Vogel 1974; Frey 1979, 1980",28.2,16.39,69.01,
Syconycteris australis,Syconycteris australis,CHIROPTERA,Plac,NA,MAMMALIA,DT,1,18,17.2,0.47,36,8.2,7.3,Coburn & Geiser 1998,-16.55,22.173,198.72,
Tachyglossus aculeatus,Tachyglossus aculeatus,MONOTREMATA,Mono,NA,MAMMALIA,HIB,1,2800,4,0.03,20,648,271,Augee & Ealey 1968; Grigg et al. 1989; Nicol & Andersen 2002,-22.26,20.986,44.83,25
Tadarida aegyptiaca,Tadarida aegyptiaca,CHIROPTERA,Plac,NA,MAMMALIA,HIB,1,17,6,NA,NA,228,NA,Cory Toussaint et al. 2010,1.12,22.33,54.06,
Tadarida brasiliensis,Tadarida brasiliensis,CHIROPTERA,Plac,NA,MAMMALIA,HIB,1,10,9,0.06,3,NA,NA,Herreid 1963; Herreid & Schmidt-Nielsen 1966,1.23,16.987,81.68,
Tadarida teniotis,Tadarida teniotis,CHIROPTERA,Plac,NA,MAMMALIA,HIB,1,35,6.7,0.04,4,528,192,Arlettaz et a. 2000; Marom et al. 2006,35.4,11.605,52.12,4.5
Tamias amoenus,Tamias amoenus,RODENTIA,Plac,NA,MAMMALIA,HIB,1,54,-0.2,0.026,2,312,211,Kenagy & Vleck 1982; Geiser et al. 1990,45.07,4.878,41.42,
Tamias striatus,Tamias striatus,RODENTIA,Plac,NA,MAMMALIA,HIB,1,87,4.9,0.06,6,150,120,Wang & Hudson 1971; Pivorun 1976; Levesque & Tattersall 2010,40.78,8.412,74.79,18
Tarsipes rostratus,Tarsipes rostratus,DIPROTODONTIA,Mars,NA,MAMMALIA,DT,1,10,5.4,0.15,5,14.4,10.5,Withers et al. 1990,-31.3,16.077,45.23,
Taxidea taxus,Taxidea taxus,CARNIVORA,Plac,NA,MAMMALIA,DT,1,9000,28,0.13,43,22,14,Harlow 1981,38.45,9.154,41.62,
Tenrec ecaudatus,Tenrec ecaudatus,AFROSORICIDA,Plac,NA,MAMMALIA,HIB,1,650,15,0.027,9,192,NA,Lachiver 1958; Kayser 1964; Hildwein 1970; Lobban & Lovegrove 2012,-18.96,22.169,123.97,
Thylamys elegans,Thylamys elegans,DIDELPIMORPHIA,Mars,NA,MAMMALIA,DT,1,32,14,0.4,47,20,14,Opazo et al. 1999; Silva-Duran & Bozinovic 1999,-30,NA,NA,
Ursus americanus,Ursus americanus,CARNIVORA,Plac,NA,MAMMALIA,HIB,1,80000,29.4,0.042,19,NA,NA,Watts et al. 1981; Toien et al. 2011,47.57,0.389,51.94,
Ursus arctos,Ursus arctos,CARNIVORA,Plac,NA,MAMMALIA,HIB,1,1.00E+05,32.5,NA,NA,NA,NA,Hissa 1997,50.76,-4.656,35.01,
Vespadelus vulturnus,Vespadelus vulturnus,CHIROPTERA,Plac,NA,MAMMALIA,HIB,1,4,5,0.014,1.3,NA,NA,Willis et al. 2005,-34.21,16.523,46.9,
Zaedyus pichiy,Zaedyus pichiy,XENARTHRA,Plac,NA,MAMMALIA,HIB,1,1100,12.5,NA,NA,112,75,Superina & Boily 2007,-40.89,9.622,32.73,44
Zapus hudsonius,Zapus hudsonius,RODENTIA,Plac,NA,MAMMALIA,HIB,1,22.6,NA,0.043,3,451,NA,Muchliski & Rybak 1978,48.34,2.509,58.16,
Zapus princeps,Zapus princeps,RODENTIA,Plac,NA,MAMMALIA,HIB,1,33.6,5.5,0.024,2,650,480,Cranford 1983; French 1985,47.4,3.297,39.73,5
Aegotheles cristatus,Aegotheles cristatus,CAPRIMULGIFORMES,NA,Aegothelidae,AVES,DT,1,50,22.4,,,10.7,3,Brigham et al. 2000; Doucette et al. 2012,-25,NA,NA,
Dacelo novaeguineae,Dacelo novaeguineae,CORACIIFORMES,NA,Alcedinidae,AVES,DT,1,350,28.6,,,11.1,9.3,Cooper et al. 2008,-25,NA,NA,
Aeronautes saxatalis,Aeronautes saxatalis,APODIFORMES,NA,Apodidae,AVES,DT,1,30.5,20,,,10,,Bartholomew et al. 1957,23,NA,NA,
Apus apus,Apus apus,APODIFORMES,NA,Apodidae,AVES,DT,1,42,28,0.4,,5,,Koskimies 1948,50,NA,NA,
Hirundapus caudacutus,Hirundapus caudacutus,APODIFORMES,NA,Apodidae,AVES,DT,1,85,28,,,10,,Pettigrew & Wilson 1985,-25,NA,NA,
Artamus cyanopterus,Artamus cyanopterus,PASSERIFORMES,NA,Artamidae,AVES,DT,1,35,29,,,12,,Maddocks & Geiser 2007,-30,NA,NA,
Caprimulgus europaeus,Caprimulgus europaeus,CAPRIMULGIFORMES,NA,Caprimulgidae,AVES,DT,1,70,14,,,16,3,Peiponen 1966; Schlegel 1969,-7,NA,NA,
Caprimulgus guttatus (argus),Caprimulgus guttatus,CAPRIMULGIFORMES,NA,Caprimulgidae,AVES,DT,1,75,29.6,0.4,48,,,Dawson & Fisher 1969,-28,NA,NA,
Caprimulgus tristigma,Caprimulgus tristigma,CAPRIMULGIFORMES,NA,Caprimulgidae,AVES,DT,1,73,10.5,,,15,6.4,Smit et al. 2011; McKechnie & Mzilikazi 2011,-11,NA,NA,
Caprimulgus vociferus,Caprimulgus vociferus,CAPRIMULGIFORMES,NA,Caprimulgidae,AVES,DT,1,55,18.5,,,,,Lane 2002,34,NA,NA,
Chordeiles acutipennis,Chordeiles acutipennis,CAPRIMULGIFORMES,NA,Caprimulgidae,AVES,DT,1,50,15.7,,,,,Marshall 1955,33,NA,NA,
Chordeiles minor,Chordeiles minor,CAPRIMULGIFORMES,NA,Caprimulgidae,AVES,DT,1,73,18,,,,,Lasiewski & Dawson 1964,43,NA,NA,
Phalaenoptilus nuttallii,Phalaenoptilus nuttallii,CAPRIMULGIFORMES,NA,Caprimulgidae,AVES,HIB,1,35,3,0.05,6,120,,Withers 1977; Brigham 1992; Woods & Brigham 2004,35,NA,NA,
Colius castanotus,Colius castanotus,COLIIFORMES,NA,Coliidae,AVES,DT,1,58,18,0.49,21,11,,Prinzinger et al. 1981; Hoffmann & Prinzinger 1984,-10,NA,NA,
Colius colius,Colius colius,COLIIFORMES,NA,Coliidae,AVES,DT,1,35,26,,,,,McKechnie & Lovegrove 2001a,-27,NA,NA,
Colius striatus,Colius striatus,COLIIFORMES,NA,Coliidae,AVES,DT,1,51,18.2,0.11,13,10,,Hoffmann & Prinzinger 1984; McKechnie & Lovegrove 2001b,-4,NA,NA,
Urocolius indicus,Urocolius indicus,COLIIFORMES,NA,Coliidae,AVES,DT,1,53,,0.68,28,10,,Hoffmann & Prinzinger 1984,-23,NA,NA,
Urocolius macrourus,Urocolius macrourus,COLIIFORMES,NA,Coliidae,AVES,DT,1,49,22,0.65,24,11,,Hoffmann & Prinzinger 1984; Schaub et al. 1999,3,NA,NA,
Drepanoptila holosericea,Drepanoptila holosericea,COLUMBIFORMES,NA,Columbidae,AVES,DT,1,200,24.8,0.27,38,10,7,Schleucher 2001,21,NA,NA,
Scardafella inca,Columbina inca,COLUMBIFORMES,NA,Columbidae,AVES,DT,1,44,29,1,66,10,,MacMillen & Trost 1967,23,NA,NA,
Delichon urbica,Delichon urbicum,PASSERIFORMES,NA,Hirundinidae,AVES,DT,1,22,26,0.75,59,12,,"Prinzinger & Siedle 1986, 1988",50,NA,NA,
Nectarinia famosa,Nectarinia famosa,PASSERIFORMES,NA,Nectariniidae,AVES,DT,1,17,25.4,,,10,,Downs & Brown 2002,-12,NA,NA,
Manacus vitellinus,Manacus vitellinus,PASSERIFORMES,NA,Pipridae,AVES,DT,1,15.5,26.8,1.8,66,3.5,,Bartholomew et al. 1983,5,NA,NA,
Podargus strigoides,Podargus strigoides,CAPRIMULGIFORMES,NA,Podargidae,AVES,DT,1,500,29.1,,,11,7,"K_rtner et al. 2000, 2001",-25,NA,NA,
Otus senegalensis,Otus senegalensis,STRIGIFORMES,NA,Strigidae,AVES,DT,1,61,29,,,5,2.8,Smit & McKechnie 2010,-2,NA,NA,
Todus mexicanus,Todus mexicanus,CORACIIFORMES,NA,Todidae,AVES,DT,1,6.2,22.4,2,62,,,Merola-Zwartjes & Ligon 2000,18,NA,NA,
Amazilia versicolor,Amazilia versicolor,TROCHILIFORMES,NA,Trochilidae,AVES,DT,1,3.9,21.8,,,10.4,6.3,Bech et al. 1997,-8,NA,NA,
Archilochus alexandri,Archilochus alexandri,TROCHILIFORMES,NA,Trochilidae,AVES,DT,1,3.2,13.5,0.2,5.7,,,"Lasiewski 1963, 1964",35,NA,NA,
Calypte anna,Calypte anna,TROCHILIFORMES,NA,Trochilidae,AVES,DT,1,3.4,16,0.17,4.4,,,Lasiewski 1963,39,NA,NA,
Calypte costae,Calypte costae,TROCHILIFORMES,NA,Trochilidae,AVES,DT,1,3.2,9,0.38,12.7,,,Lasiewski 1963; 1964,37,NA,NA,
Chrysuronia oenone,Chrysuronia oenone,TROCHILIFORMES,NA,Trochilidae,AVES,DT,1,5,18,2.05,,,,Kr_ger et al. 1982,-4,NA,NA,
Clytolaema rubricauda,Clytolaema rubricauda,TROCHILIFORMES,NA,Trochilidae,AVES,DT,1,7.7,18,0.5,16,,,Bech et al. 2006,-22,NA,NA,
Eugenes fulgens,Eugenes fulgens,TROCHILIFORMES,NA,Trochilidae,AVES,DT,1,8,10,0.5,,,,Wolf & Hainsworth 1972,27,NA,NA,
Eulampis jugularis,Eulampis jugularis,TROCHILIFORMES,NA,Trochilidae,AVES,DT,1,8,18,1,33,,,Hainsworth & Wolf 1970,15,NA,NA,
Eupetomena macroura,Eupetomena macroura,TROCHILIFORMES,NA,Trochilidae,AVES,DT,1,8.5,22,,,9,5.8,Bech et al. 1997,-15,NA,NA,
Lampornis clemenciae,Lampornis clemenciae,TROCHILIFORMES,NA,Trochilidae,AVES,DT,1,8,19.6,0.45,17,,,Kr_ger et al. 1982,25,NA,NA,
Melanotrochilus fuscus,Florisuga fusca,TROCHILIFORMES,NA,Trochilidae,AVES,DT,1,6.9,22,,,11.2,9.6,Bech et al. 1997,-26,NA,NA,
Oreotrochilus estella,Oreotrochilus estella,TROCHILIFORMES,NA,Trochilidae,AVES,DT,1,8.5,6.5,0.75,,,10,Carpenter 1974; Kr_ger et al. 1982,-17,NA,NA,
Orthorhynchus cristatus,Orthorhynchus cristatus,TROCHILIFORMES,NA,Trochilidae,AVES,DT,1,2.9,20.8,1.25,20,,,Kr_ger et al. 1982,16,NA,NA,
Panterpe insignis,Panterpe insignis,TROCHILIFORMES,NA,Trochilidae,AVES,DT,1,5,10,0.5,,,,Wolf & Hainsworth 1972,9,NA,NA,
Selasphorus platycercus,Selasphorus platycercus,TROCHILIFORMES,NA,Trochilidae,AVES,DT,1,3.5,6.5,0.54,,,,Calder & Booser 1973; Bucher & Chappell 1992,37,NA,NA,
Selasphorus rufus,Selasphorus rufus,TROCHILIFORMES,NA,Trochilidae,AVES,DT,1,3.3,13,0.43,12.8,10,5,Lasiewski 1963; Hiebert 1990; 1993,48,NA,NA,
Selasphorus sasin,Selasphorus sasin,TROCHILIFORMES,NA,Trochilidae,AVES,DT,1,3,23,1.24,32.6,,,Lasiewski 1963,38,NA,NA,